NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1 [%],top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor,level
MLP,GPU,FP32,maxn,16,1.12241,5197.97,14502.4,43.8168,122.249,97.31,,1.8,5.7,15.734,,100%,l3
MLP,GPU,FP32,maxn,32,1.43216,6206.06,26897.1,52.3146,226.732,97.31,,1.8,5.7,16.041,,100%,l3
MLP,GPU,FP32,maxn,64,2.4745,6736.84,28405,56.7889,239.443,97.31,,1.8,5.7,16.969,,100%,l3
MLP,GPU,FP32,maxn,128,3.005,7529.41,45810.4,63.4699,386.163,97.31,,1.8,5.7,16.719,,100%,l3
MLP,GPU,FP32,maxq,1,0.957507,796.887,1037.74,6.71744,8.74769,97.31,,1.8,4.15,8.462,,100%,l3
MLP,GPU,FP32,maxq,2,1.03868,1343.83,1918.3,11.328,16.1705,97.31,,1.8,4.15,8.423,,100%,l3
MLP,GPU,FP32,maxq,4,1.03566,2221.26,3851.59,18.7243,32.4674,97.31,,1.8,4.15,8.415,,100%,l3
MLP,GPU,FP32,maxq,8,1.43252,2852.37,5597.4,24.0443,47.1839,97.31,,1.8,4.15,8.796,,100%,l3
MLP,GPU,FP32,maxq,16,1.49195,3938.46,10829.7,33.1997,91.2898,97.31,,1.8,4.15,8.948,,100%,l3
MLP,GPU,FP32,maxq,32,1.63363,4785.05,20225.2,40.336,170.49,97.31,,1.8,4.15,9.117,,100%,l3
MLP,GPU,FP32,maxq,64,3.23019,4853.08,21240,40.9095,179.044,97.31,,1.8,4.15,9.721,,100%,l3
MLP,GPU,FP32,maxq,128,4.4095,5278.35,30758.1,44.4944,259.279,97.31,,1.8,4.15,8.738,,100%,l3
MLP,GPU,FP32,maxp,1,0.819372,877.464,1231.27,7.39667,10.3791,97.31,,1.8,4.7,10.895,,100%,l3
MLP,GPU,FP32,maxp,2,0.894066,1376.34,1991.41,11.602,16.7868,97.31,,1.8,4.7,10.915,,100%,l3
MLP,GPU,FP32,maxp,4,0.958605,2115.7,4023.29,17.8345,33.9147,97.31,,1.8,4.7,11.193,,100%,l3
MLP,GPU,FP32,maxp,8,1.2049,3002.93,6766.27,25.3135,57.0369,97.31,,1.8,4.7,11.915,,100%,l3
MLP,GPU,FP32,maxp,16,1.25261,4129.03,13126.4,34.8061,110.65,97.31,,1.8,4.7,12.021,,100%,l3
MLP,GPU,FP32,maxp,32,1.51984,4697.25,24259.7,39.5959,204.499,97.31,,1.8,4.7,12.271,,100%,l3
MLP,GPU,FP32,maxp,64,2.76887,4899.52,25678.3,41.301,216.458,97.31,,1.8,4.7,12.95,,100%,l3
MLP,GPU,FP32,maxp,128,3.4425,5475.94,39802.5,46.16,335.52,97.31,,1.8,4.7,12.366,,100%,l3
MLP,ZCU102-DPU,INT8,,1,,,,,,,,,,,,100%,l3
MLP,ZCU102-DPU,INT8,,2,,,,,,,,,,,,100%,l3
MLP,ZCU102-DPU,INT8,,3,,,,,,,,,,,,100%,l3
MLP,ZCU102-DPU,INT8,,4,,,,,,,,,,,,100%,l3
MLP,ZCU102-DPU,INT8,,5,,,,,,,,,,,,100%,l3
MLP,ZCU102-DPU,INT8,,6,,,,,,,,,,,,100%,l3
MLP,ZCU102-DPU,INT8,,7,,,,,,,,,,,,100%,l3
MLP,ZCU102-DPU,INT8,,8,,,,,,,,,,,,100%,l3
MLP,ZCU104-DPU,INT8,,1,,,,,,,,,,,,100%,l3
MLP,ZCU104-DPU,INT8,,2,,,,,,,,,,,,100%,l3
MLP,ZCU104-DPU,INT8,,3,,,,,,,,,,,,100%,l3
MLP,ZCU104-DPU,INT8,,4,,,,,,,,,,,,100%,l3
MLP,ZCU104-DPU,INT8,,5,,,,,,,,,,,,100%,l3
MLP,ZCU104-DPU,INT8,,6,,,,,,,,,,,,100%,l3
MLP,ZCU104-DPU,INT8,,7,,,,,,,,,,,,100%,l3
MLP,ZCU104-DPU,INT8,,8,,,,,,,,,,,,100%,l3
MLP,Ultra96-DPU,INT8,,1,,,,,,,,,,,,100%,l3
MLP,Ultra96-DPU,INT8,,2,,,,,,,,,,,,100%,l3
MLP,Ultra96-DPU,INT8,,3,,,,,,,,,,,,100%,l3
MLP,Ultra96-DPU,INT8,,4,,,,,,,,,,,,100%,l3
MLP,Ultra96-DPU,INT8,,5,,,,,,,,,,,,100%,l3
MLP,Ultra96-DPU,INT8,,6,,,,,,,,,,,,100%,l3
MLP,Ultra96-DPU,INT8,,7,,,,,,,,,,,,100%,l3
MLP,Ultra96-DPU,INT8,,8,,,,,,,,,,,,100%,l3
MLP,ZCU104-FINN,INT4,,1,,,,,,,,,,,,100%,l3
MLP,ZCU104-FINN,INT4,,2,,,,,,,,,,,,100%,l3
MLP,ZCU104-FINN,INT4,,4,,,,,,,,,,,,100%,l3
MLP,ZCU104-FINN,INT4,,8,,,,,,,,,,,,100%,l3
MLP,ZCU104-FINN,INT4,,16,,,,,,,,,,,,100%,l3
MLP,ZCU104-FINN,INT4,,32,,,,,,,,,,,,100%,l3
MLP,ZCU104-FINN,INT4,,64,,,,,,,,,,,,100%,l3
MLP,ZCU104-FINN,INT4,,128,,,,,,,,,,,,100%,l3
MLP,ZCU104-FINN,INT4,,256,,,,,,,,,,,,100%,l3
MLP,ZCU104-FINN,INT4,,512,,,,,,,,,,,,100%,l3
MLP,ZCU104-FINN,INT2,,1,0.023,,43478.261,,,98.75,,9.2,13.71,13.9525,,100%,l3
MLP,ZCU104-FINN,INT2,,2,0.036,,55555.556,,,98.75,,9.2,13.71,13.905,,100%,l3
MLP,ZCU104-FINN,INT2,,4,0.061,,65573.77,,,98.75,,9.2,13.71,13.94,,100%,l3
MLP,ZCU104-FINN,INT2,,8,0.111,,72072.072,,,98.75,,9.2,13.71,13.9325,,100%,l3
MLP,ZCU104-FINN,INT2,,16,0.21,,76190.476,,,98.75,,9.2,13.71,13.9875,,100%,l3
MLP,ZCU104-FINN,INT2,,32,0.408,,78431.373,,,98.75,,9.2,13.71,13.9,,100%,l3
MLP,ZCU104-FINN,INT2,,64,0.806,,79404.467,,,98.75,,9.2,13.71,14.2775,,100%,l3
MLP,ZCU104-FINN,INT2,,128,1.6,,80000,,,98.75,,9.2,13.71,14.365,,100%,l3
MLP,ZCU104-FINN,INT2,,256,3.19,,80250.784,,,98.75,,9.2,13.71,14.515,,100%,l3
MLP,ZCU104-FINN,INT2,,512,6.369,,80389.386,,,98.75,,9.2,13.71,14.95,,100%,l3
MLP,ZCU104-Bismo,INT4,,2,3.2593644,,613.616568923683,,,98.77,,9.2,14.3,15.225,,100%,l3
MLP,ZCU104-Bismo,INT4,,4,5.6311403,,710.335702344337,,,98.77,,9.2,14.3,15.325,,100%,l3
MLP,ZCU104-Bismo,INT4,,8,10.265632,,779.29931639864,,,98.77,,9.2,14.3,15.3,,100%,l3
MLP,ZCU104-Bismo,INT4,,16,19.714788,,811.573525416555,,,98.77,,9.2,14.3,15.475,,100%,l3
MLP,ZCU104-Bismo,INT4,,32,38.386224,,833.632398956459,,,98.77,,9.2,14.3,15.175,,100%,l3
MLP,ZCU104-Bismo,INT4,,64,76.340167,,838.352894879048,,,98.77,,9.2,14.3,15.3,,100%,l3
MLP,ZCU104-Bismo,INT4,,128,154.56762,,828.116522723194,,,98.77,,9.2,14.3,15.3,,100%,l3
MLP,ZCU104-Bismo,INT2,,2,2.1472937,,931.404958716174,,,98.75,,9.2,14.3,15.175,,100%,l3
MLP,ZCU104-Bismo,INT2,,4,3.3656449,,1188.47950952877,,,98.75,,9.2,14.3,15.425,,100%,l3
MLP,ZCU104-Bismo,INT2,,8,5.7826969,,1383.43754451318,,,98.75,,9.2,14.3,15.55,,100%,l3
MLP,ZCU104-Bismo,INT2,,16,10.675147,,1498.80840048385,,,98.75,,9.2,14.3,15.35,,100%,l3
MLP,ZCU104-Bismo,INT2,,32,20.320172,,1574.78981969247,,,98.75,,9.2,14.3,15.175,,100%,l3
MLP,ZCU104-Bismo,INT2,,64,39.836965,,1606.54808919304,,,98.75,,9.2,14.3,15.4,,100%,l3
