NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor, level,hw_peak_perf,hw_bandwidth,nn_total_operations,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
GoogLeNetv1,TX2-maxp,FP32,maxp,4,47.16,32.9171,84.5094,121.93700000000001,264.51442199999997,381.66281000000004,66.956,87.844,1.8,4.7,9.56,12.52,100.0,l3,0.57,59.7,3.1,TX2-maxp_FP32_100%_GoogLeNetv1,0.02740533835087252,FP32_TX2-maxp,TX2-maxp_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP32,maxp,8,84.8,62.4034,88.8812,128.575,278.19815600000004,402.43974999999995,66.956,87.844,1.8,4.7,9.71,25.04,100.0,l3,0.57,59.7,3.1,TX2-maxp_FP32_100%_GoogLeNetv1,0.05195434261356068,FP32_TX2-maxp,TX2-maxp_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP32,maxp,16,174.47,121.70700000000001,91.7645,131.84,287.22288499999996,412.6592,66.956,87.844,1.8,4.7,9.75,50.08,100.0,l3,0.57,59.7,3.1,TX2-maxp_FP32_100%_GoogLeNetv1,0.10132792726788332,FP32_TX2-maxp,TX2-maxp_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP32,maxp,32,338.86,238.447,94.2997,134.274,295.158061,420.27762,66.956,87.844,1.8,4.7,9.77,100.16,100.0,l3,0.57,59.7,3.1,TX2-maxp_FP32_100%_GoogLeNetv1,0.19852054748901027,FP32_TX2-maxp,TX2-maxp_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP32,maxp,64,716.89,473.49800000000005,88.4895,135.156,276.97213500000004,423.03828,66.956,87.844,1.8,4.7,9.5,200.32,100.0,l3,0.57,59.7,3.1,TX2-maxp_FP32_100%_GoogLeNetv1,0.39421373384840824,FP32_TX2-maxp,TX2-maxp_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP32,maxp,128,"1,501.33",938.0239999999999,84.7963,136.319,265.412419,426.67846999999995,66.956,87.844,1.8,4.7,9.16,400.64,100.0,l3,0.57,59.7,3.1,TX2-maxp_FP32_100%_GoogLeNetv1,0.7809577727454375,FP32_TX2-maxp,TX2-maxp_FP32_GoogLeNetv1_100.0
GoogLeNetv1,Ultra96-DPU,INT8,,1,19.83,16.7913,50.446999999999996,59.5752,157.89910999999998,186.470376,69.41,89.31,2.5,6.8,8.02899,3.13,100.0,l3,0.96,4.26,3.1,Ultra96-DPU_INT8_100%_GoogLeNetv1,0.013979702277873986,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,Ultra96-DPU,INT8,,2,33.41,29.9483,59.9339,66.5095,187.593107,208.174735,69.41,89.31,2.5,6.8,8.238710000000001,6.26,100.0,l3,0.96,4.26,3.1,Ultra96-DPU_INT8_100%_GoogLeNetv1,0.024933645264419876,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,Ultra96-DPU,INT8,,3,50.72,47.3482,59.6774,,186.79026199999998,,69.41,89.31,2.5,6.8,8.33854,9.39,100.0,l3,0.96,4.26,3.1,Ultra96-DPU_INT8_100%_GoogLeNetv1,0.03942004129479153,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,Ultra96-DPU,INT8,,4,66.76,63.2061,59.7523,,187.024699,,69.41,89.31,2.5,6.8,8.23847,12.52,100.0,l3,0.96,4.26,3.1,Ultra96-DPU_INT8_100%_GoogLeNetv1,0.05262263554016252,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,Ultra96-DPU,INT8,,5,83.64,81.108,59.5355,,186.346115,,69.41,89.31,2.5,6.8,8.22945,15.649999999999999,100.0,l3,0.96,4.26,3.1,Ultra96-DPU_INT8_100%_GoogLeNetv1,0.06752697482349808,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,Ultra96-DPU,INT8,,6,101.58,99.30799999999999,57.3676,,179.560588,,69.41,89.31,2.5,6.8,8.22359,18.78,100.0,l3,0.96,4.26,3.1,Ultra96-DPU_INT8_100%_GoogLeNetv1,0.08267949913414147,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,Ultra96-DPU,INT8,,7,118.88,116.47399999999999,58.816,,184.09408,,69.41,89.31,2.5,6.8,8.49968,21.91,100.0,l3,0.96,4.26,3.1,Ultra96-DPU_INT8_100%_GoogLeNetv1,0.09697116025043293,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,Ultra96-DPU,INT8,,8,138.01,129.952,59.4669,62.0088,186.131397,194.087544,69.41,89.31,2.5,6.8,8.23202,25.04,100.0,l3,0.96,4.26,3.1,Ultra96-DPU_INT8_100%_GoogLeNetv1,0.1081923538031171,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,ZCU102-DPU,INT8,,1,9.63,6.6557,103.431,150.391,323.73902999999996,470.72382999999996,69.49,89.26,20.0,29.0,31.45,3.13,100.0,l3,6.71,19.2,3.1,ZCU102-DPU_INT8_100%_GoogLeNetv1,0.00554124483815106,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,ZCU102-DPU,INT8,,2,9.87048,6.84872,202.476,290.497,633.74988,909.25561,69.49,89.26,20.0,29.0,33.9,6.26,100.0,l3,6.71,19.2,3.1,ZCU102-DPU_INT8_100%_GoogLeNetv1,0.00570194485147196,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,ZCU102-DPU,INT8,,3,10.0871,7.17587,296.555,424.31199999999995,928.21715,1328.0965599999997,69.49,89.26,20.0,29.0,36.4,9.39,100.0,l3,6.71,19.2,3.1,ZCU102-DPU_INT8_100%_GoogLeNetv1,0.005974315638737179,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,ZCU102-DPU,INT8,,4,11.5514,8.61315,341.35400000000004,462.215,1068.43802,1446.7329499999998,69.49,89.26,20.0,29.0,37.9,12.52,100.0,l3,6.71,19.2,3.1,ZCU102-DPU_INT8_100%_GoogLeNetv1,0.007170932130011989,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,ZCU102-DPU,INT8,,5,13.533,10.3627,364.86800000000005,529.573,1142.0368400000002,1657.5634899999998,69.49,89.26,20.0,29.0,38.9,15.649999999999999,100.0,l3,6.71,19.2,3.1,ZCU102-DPU_INT8_100%_GoogLeNetv1,0.008627530971093648,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,ZCU102-DPU,INT8,,6,15.7128,12.8324,371.273,544.702,1162.08449,1704.91726,69.49,89.26,20.0,29.0,37.4,18.78,100.0,l3,6.71,19.2,3.1,ZCU102-DPU_INT8_100%_GoogLeNetv1,0.010683695217796723,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,ZCU102-DPU,INT8,,7,18.3435,15.4456,377.01,536.201,1180.0412999999999,1678.30913,69.49,89.26,20.0,29.0,38.5,21.91,100.0,l3,6.71,19.2,3.1,ZCU102-DPU_INT8_100%_GoogLeNetv1,0.01285933129079526,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GoogLeNetv1_100.0
GoogLeNetv1,ZCU102-DPU,INT8,,8,20.8812,17.8224,379.10900000000004,535.491,1186.6111700000001,1676.08683,69.49,89.26,20.0,29.0,39.0,25.04,100.0,l3,6.71,19.2,3.1,ZCU102-DPU_INT8_100%_GoogLeNetv1,0.01483815105901159,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GoogLeNetv1_100.0
MobileNetv1,EdgeTPU-slow,INT8,slow,1,7.86,4.08249,127.256,244.949,145.07183999999998,279.24186,69.5674,87.7058,0.253,0.253,0.462,1.14,100.0,l3,2.0,25.6,1.1,EdgeTPU-slow_INT8_100%_MobileNetv1,0.12075658983923901,INT8_EdgeTPU-slow,EdgeTPU-slow_INT8_MobileNetv1_100.0
