NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],BasePWR [W],IdlePWR [W],FullPwr [W],GOPS,PruningFactor,level,hw_quant_prun,norm-lat-comp,quant_model
CNV,ZCU104-Bismo,INT2,,128,498.197604,,256.92616538557303,,,84.29,,9.2,,15.75,,50.0,l3,ZCU104-Bismo_INT2_50%,0.03421421539497384,INT2_ZCU104-Bismo
CNV,A53-gemmlowp,INT2,,2,34.132,,58.596038907769795,,,84.29,,9.2,,14.5,,50.0,l3,A53-gemmlowp_INT2_50%,0.0023440490088371584,INT2_A53-gemmlowp
CNV,A53-gemmlowp,INT2,,4,52.668,,75.947444368497,,,84.29,,9.2,,14.5,,50.0,l3,A53-gemmlowp_INT2_50%,0.0036170272236445405,INT2_A53-gemmlowp
CNV,A53-gemmlowp,INT2,,8,89.495,,89.39046874127051,,,84.29,,9.2,,14.5,,50.0,l3,A53-gemmlowp_INT2_50%,0.006146158034861171,INT2_A53-gemmlowp
CNV,A53-gemmlowp,INT2,,16,164.93900000000002,,97.00555963113639,,,84.29,,9.2,,14.5,,50.0,l3,A53-gemmlowp_INT2_50%,0.011327349685591003,INT2_A53-gemmlowp
CNV,A53-gemmlowp,INT2,,32,320.24,,99.92505620784408,,,84.29,,9.2,,14.5,,50.0,l3,A53-gemmlowp_INT2_50%,0.021992800146197457,INT2_A53-gemmlowp
CNV,A53-gemmlowp,INT2,,64,620.131,,103.20400044506701,,,84.29,,9.2,,14.5,,50.0,l3,A53-gemmlowp_INT2_50%,0.04258811250144134,INT2_A53-gemmlowp
CNV,A53-gemmlowp,INT2,,128,1227.069,,104.313612355947,,,84.29,,9.2,,14.5,,50.0,l3,A53-gemmlowp_INT2_50%,0.08427018262114154,INT2_A53-gemmlowp
CNV,NCS,FP16,na,1,1.95433,285.517,511.684,,,83.28,,0.53,1.2,1.59,0.030510847999999997,25.0,l3,NCS_FP16_25%,0.00013421555430214238,FP16_NCS
CNV,NCS,FP16,na,2,2.80634,344.874,712.672,,,83.28,,0.53,1.2,1.62,0.06102169599999999,25.0,l3,NCS_FP16_25%,0.00019272818749150567,FP16_NCS
CNV,NCS,FP16,na,4,4.62598,372.73,864.682,,,83.28,,0.53,1.2,1.62,0.12204339199999999,25.0,l3,NCS_FP16_25%,0.00031769377223428213,FP16_NCS
CNV,NCS,FP16,na,8,7.97099,393.913,1003.64,,,83.28,,0.53,1.2,1.63,0.24408678399999997,25.0,l3,NCS_FP16_25%,0.0005474156571238398,FP16_NCS
CNV,NCS,FP16,na,16,14.6403,407.87300000000005,1092.87,,,83.28,,0.53,1.2,1.64,0.48817356799999995,25.0,l3,NCS_FP16_25%,0.001005437147078362,FP16_NCS
CNV,NCS,FP16,na,32,27.921,418.16900000000004,1146.09,,,83.28,,0.53,1.2,1.65,0.9763471359999999,25.0,l3,NCS_FP16_25%,0.0019175024134461002,FP16_NCS
CNV,NCS,FP16,na,64,53.2949,422.25,1200.87,,,83.28,,0.53,1.2,1.65,1.9526942719999998,25.0,l3,NCS_FP16_25%,0.0036600802039457245,FP16_NCS
CNV,NCS,FP16,na,128,105.63,426.94599999999997,1211.78,,,83.28,,0.53,1.2,1.67,3.9053885439999996,25.0,l3,NCS_FP16_25%,0.007254245189366841,FP16_NCS
CNV,GPU,FP16,maxp,1,0.571742,1025.03,1869.41,,,83.31,,1.8,4.7,6.3,,25.0,l3,GPU_FP16_25%,3.926494985381971e-05,FP16_GPU
CNV,GPU,FP16,maxp,2,0.627033,1542.17,3449.15,,,83.31,,1.8,4.7,6.2,,25.0,l3,GPU_FP16_25%,4.306211420831448e-05,FP16_GPU
CNV,GPU,FP16,maxp,4,0.709281,2133.33,5862.89,,,83.31,,1.8,4.7,6.8,,25.0,l3,GPU_FP16_25%,4.871057731855821e-05,FP16_GPU
CNV,GPU,FP16,maxp,8,0.9314450000000001,2534.65,9056.34,,,83.31,,1.8,4.7,6.9,,25.0,l3,GPU_FP16_25%,6.396791072999903e-05,FP16_GPU
CNV,GPU,FP16,maxp,16,1.4019700000000002,2813.19,12232.4,,,83.31,,1.8,4.7,7.0,,25.0,l3,GPU_FP16_25%,9.62816825535987e-05,FP16_GPU
CNV,GPU,FP16,maxp,32,2.36591,3084.34,14952.4,,,83.31,,1.8,4.7,6.9,,25.0,l3,GPU_FP16_25%,0.00016248121969113797,FP16_GPU
CNV,GPU,FP16,maxp,64,4.12869,3230.28,16486.9,,,83.31,,1.8,4.7,6.9,,25.0,l3,GPU_FP16_25%,0.00028354188744567814,FP16_GPU
CNV,GPU,FP16,maxp,128,7.45937,3335.5,17483.4,,,83.31,,1.8,4.7,7.0,,25.0,l3,GPU_FP16_25%,0.0005122796453489286,FP16_GPU
CNV,GPU,FP32,maxp,1,0.513143,1109.43,2075.17,,,83.25,,1.8,4.7,6.8,,25.0,l3,GPU_FP32_25%,3.5240605312953415e-05,FP32_GPU
CNV,GPU,FP32,maxp,2,0.563732,1635.78,3575.82,,,83.25,,1.8,4.7,7.4,,25.0,l3,GPU_FP32_25%,3.8714855146190935e-05,FP32_GPU
CNV,GPU,FP32,maxp,4,0.901777,1917.6,4504.01,,,83.25,,1.8,4.7,7.1,,25.0,l3,GPU_FP32_25%,6.193043135597522e-05,FP32_GPU
CNV,GPU,FP32,maxp,8,1.27134,2327.27,6430.59,,,83.25,,1.8,4.7,7.3,,25.0,l3,GPU_FP32_25%,8.731053752768758e-05,FP32_GPU
CNV,GPU,FP32,maxp,16,1.97941,2572.86,8374.36,,,83.25,,1.8,4.7,7.4,,25.0,l3,GPU_FP32_25%,0.00013593794821816358,FP32_GPU
CNV,GPU,FP32,maxp,32,3.30825,2852.37,9900.22,,,83.25,,1.8,4.7,7.3,,25.0,l3,GPU_FP32_25%,0.000227197355369903,FP32_GPU
CNV,GPU,FP32,maxp,64,6.26,2925.71,10667.3,,,83.25,,1.8,4.7,7.3,,25.0,l3,GPU_FP32_25%,0.0004299117190706847,FP32_GPU
CNV,GPU,FP32,maxp,128,11.409,3038.58,11247.1,,,83.25,,1.8,4.7,7.2,,25.0,l3,GPU_FP32_25%,0.0007835244094053423,FP32_GPU
CNV,ZCU104-FINN,INT4,,1,0.161,,6211.18,,189.50836888063998,81.09,,9.2,11.5,13.85,,25.0,l3,ZCU104-FINN_INT4_25%,1.1056834947345088e-05,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,2,0.244,,8163.265,,249.06813759872003,81.09,,9.2,11.5,13.85,,25.0,l3,ZCU104-FINN_INT4_25%,1.6756942404672058e-05,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,4,0.396,,10075.567,,307.414093250816,81.09,,9.2,11.5,14.2,,25.0,l3,ZCU104-FINN_INT4_25%,2.7195693410861207e-05,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,8,0.664,,12121.212,,369.82845690777606,81.09,,9.2,11.5,13.8,,25.0,l3,ZCU104-FINN_INT4_25%,4.560085965861576e-05,INT4_ZCU104-FINN
