NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],BasePWR [W],IdlePWR [W],FullPwr [W],GOPS,PruningFactor,level,hw_quant_prun_net,norm-lat-comp,quant_model,hw_precision_net_prun
RN50,Ultra96-DPU,INT8,,2,75.2752,25.5044,26.5641,196.893968,205.074852,73.29,91.26,2.5,6.8,8.3548,,100.0,l3,Ultra96-DPU_INT8_100%_RN50,0.010724337878075536,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_100.0
RN50,Ultra96-DPU,INT8,,3,114.32700000000001,25.5303,26.211,197.09391599999998,202.34892,73.29,91.26,2.5,6.8,8.3511,,100.0,l3,Ultra96-DPU_INT8_100%_RN50,0.016287985639184512,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_100.0
RN50,Ultra96-DPU,INT8,,4,153.429,25.5102,26.0135,196.93874399999999,200.82422,73.29,91.26,2.5,6.8,8.35554,,100.0,l3,Ultra96-DPU_INT8_100%_RN50,0.02185878531435654,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_100.0
RN50,Ultra96-DPU,INT8,,5,192.398,25.5336,26.0119,197.119392,200.811868,73.29,91.26,2.5,6.8,8.35559,,100.0,l3,Ultra96-DPU_INT8_100%_RN50,0.0274106366913137,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_100.0
RN50,Ultra96-DPU,INT8,,6,235.28400000000002,25.1176,25.5712,193.907872,197.409664,73.29,91.26,2.5,6.8,8.3679,,100.0,l3,Ultra96-DPU_INT8_100%_RN50,0.033520536820959956,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_100.0
RN50,Ultra96-DPU,INT8,,7,275.017,25.0032,25.614,193.024704,197.74008,73.29,91.26,2.5,6.8,8.36065,,100.0,l3,Ultra96-DPU_INT8_100%_RN50,0.039181234061346895,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_100.0
RN50,Ultra96-DPU,INT8,,8,309.125,25.392,26.0528,196.02624,201.127616,73.29,91.26,2.5,6.8,8.36256,,100.0,l3,Ultra96-DPU_INT8_100%_RN50,0.044040546508811666,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_100.0
RN50,Ultra96-DPU,INT8,,1,35.674,22.0335,27.9587,142.0323477,180.22737194,73.3,91.4,2.5,6.8,8.0222,,50.0,l3,Ultra96-DPU_INT8_50%_RN50,0.005082417973814307,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_50.0
RN50,Ultra96-DPU,INT8,,2,68.1823,28.1659,29.3968,181.56302458,189.49765216,73.3,91.4,2.5,6.8,8.28728,,50.0,l3,Ultra96-DPU_INT8_50%_RN50,0.009713823709592397,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_50.0
RN50,Ultra96-DPU,INT8,,3,103.579,28.1043,28.9648,181.16593866,186.71289376,73.3,91.4,2.5,6.8,8.29845,,50.0,l3,Ultra96-DPU_INT8_50%_RN50,0.014756735193970735,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_50.0
