NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor,level,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
MLP,U96-Quadcore A53,INT2,,8,,100.627,,79.50152544,,1.59233605303776,98.75,,9.2,14.3,15.32774462,0.16023199999999999,100.0,l3,U96-Quadcore A53_INT2_100%_MLP,0.2311861307160712,INT2_U96-Quadcore A53,U96-Quadcore A53_INT2_MLP_100.0
MLP,U96-Quadcore A53,INT2,,16,,125.092,,127.90586129999998,,2.5618264959777,98.75,,9.2,14.3,15.31186924,0.32046399999999997,100.0,l3,U96-Quadcore A53_INT2_100%_MLP,0.28739339802970154,INT2_U96-Quadcore A53,U96-Quadcore A53_INT2_MLP_100.0
MLP,U96-Quadcore A53,INT2,,32,,170.55900000000003,,187.6183608,,3.7578081484632,98.75,,9.2,14.3,15.30914561,0.6409279999999999,100.0,l3,U96-Quadcore A53_INT2_100%_MLP,0.3918518416409352,INT2_U96-Quadcore A53,U96-Quadcore A53_INT2_MLP_100.0
MLP,U96-Quadcore A53,INT2,,64,,253.599,,252.3669257,,5.0546571548453,98.75,,9.2,14.3,15.31872744,1.2818559999999999,100.0,l3,U96-Quadcore A53_INT2_100%_MLP,0.5826326091751214,INT2_U96-Quadcore A53,U96-Quadcore A53_INT2_MLP_100.0
MLP,U96-Quadcore A53,INT2,,128,,435.264,,294.0744008,,5.8900161736232,98.75,,9.2,14.3,15.31292226,2.5637119999999998,100.0,l3,U96-Quadcore A53_INT2_100%_MLP,1.0,INT2_U96-Quadcore A53,U96-Quadcore A53_INT2_MLP_100.0
MLP,NCS,FP16,,1,3.53,1.93663,283.339,516.36,1.64903298,3.0052152000000003,98.75,,0.53,1.2,1.809,0.0058200000000000005,50.0,l3,NCS_FP16_50%_MLP,0.004449322709895603,FP16_NCS,NCS_FP16_MLP_50.0
MLP,NCS,FP16,,2,5.93,2.76217,337.009,724.068,1.96139238,4.21407576,98.75,,0.53,1.2,1.838,0.011640000000000001,50.0,l3,NCS_FP16_50%_MLP,0.0063459647478312006,FP16_NCS,NCS_FP16_MLP_50.0
MLP,NCS,FP16,,4,10.65,4.33873,375.48800000000006,921.928,2.18534016,5.365620959999998,98.75,,0.53,1.2,1.864,0.023280000000000002,50.0,l3,NCS_FP16_50%_MLP,0.00996804238347302,FP16_NCS,NCS_FP16_MLP_50.0
MLP,NCS,FP16,,8,20.03,7.23535,399.446,1105.68,2.32477572,6.4350575999999995,98.75,,0.53,1.2,1.933,0.046560000000000004,50.0,l3,NCS_FP16_50%_MLP,0.016622900124981622,FP16_NCS,NCS_FP16_MLP_50.0
MLP,NCS,FP16,,16,38.83,13.3314,412.007,1200.17,2.39788074,6.9849894,98.75,,0.53,1.2,1.926,0.09312000000000001,50.0,l3,NCS_FP16_50%_MLP,0.030628308337009264,FP16_NCS,NCS_FP16_MLP_50.0
MLP,NCS,FP16,,32,75.78,24.5905,422.289,1301.31,2.45772198,7.5736241999999985,98.75,,0.53,1.2,1.956,0.18624000000000002,50.0,l3,NCS_FP16_50%_MLP,0.05649559807381267,FP16_NCS,NCS_FP16_MLP_50.0
MLP,NCS,FP16,,64,149.82,47.9514,427.1880000000001,1334.68,2.48623416,7.767837599999999,98.75,,0.53,1.2,1.985,0.37248000000000003,50.0,l3,NCS_FP16_50%_MLP,0.11016624393471547,FP16_NCS,NCS_FP16_MLP_50.0
MLP,NCS,FP16,,128,297.84,93.3654,429.768,1370.96,2.50124976,7.978987200000001,98.75,,0.53,1.2,2.01,0.7449600000000001,50.0,l3,NCS_FP16_50%_MLP,0.21450292236435814,FP16_NCS,NCS_FP16_MLP_50.0
MLP,TX2,FP16,maxp,1,0.67,0.335562,1526.08,3009.65,8.881785599999997,17.516163,97.46,,1.8,4.7,8.718,0.0058200000000000005,50.0,l3,TX2_FP16_50%_MLP,0.0007709390163211291,FP16_TX2,TX2_FP16_MLP_50.0
MLP,TX2,FP16,maxp,2,0.86,0.35685500000000003,2386.95,5676.31,13.892048999999998,33.036124199999996,97.46,,1.8,4.7,8.65,0.011640000000000001,50.0,l3,TX2_FP16_50%_MLP,0.0008198587523893546,FP16_TX2,TX2_FP16_MLP_50.0
MLP,TX2,FP16,maxp,4,1.2,0.354211,3482.99,11532.1,20.2710018,67.116822,97.46,,1.8,4.7,8.868,0.023280000000000002,50.0,l3,TX2_FP16_50%_MLP,0.0008137842780473459,FP16_TX2,TX2_FP16_MLP_50.0
MLP,TX2,FP16,maxp,8,2.01,0.50943,4179.59,15901.4,24.3252138,92.546148,97.46,,1.8,4.7,8.795,0.046560000000000004,50.0,l3,TX2_FP16_50%_MLP,0.0011703931407146008,FP16_TX2,TX2_FP16_MLP_50.0
MLP,TX2,FP16,maxp,16,3.34,0.527234,5044.33,30770.2,29.3580006,179.082564,97.46,,1.8,4.7,9.686,0.09312000000000001,50.0,l3,TX2_FP16_50%_MLP,0.0012112970519041315,FP16_TX2,TX2_FP16_MLP_50.0
MLP,TX2,FP16,maxp,32,6.21,0.628219,5505.38,62458.1,32.04131160000001,363.506142,97.46,,1.8,4.7,9.003,0.18624000000000002,50.0,l3,TX2_FP16_50%_MLP,0.0014433056719600056,FP16_TX2,TX2_FP16_MLP_50.0
MLP,TX2,FP16,maxp,64,11.48,0.898875,5851.43,94587.1,34.055322600000004,550.4969219999999,97.46,,1.8,4.7,8.679,0.37248000000000003,50.0,l3,TX2_FP16_50%_MLP,0.0020651259925011027,FP16_TX2,TX2_FP16_MLP_50.0
MLP,TX2,FP16,maxp,128,21.56,1.12688,6168.67,141671.0,35.9016594,824.52522,97.46,,1.8,4.7,9.883,0.7449600000000001,50.0,l3,TX2_FP16_50%_MLP,0.0025889575062490807,FP16_TX2,TX2_FP16_MLP_50.0
MLP,TX2,FP32,maxp,1,0.65,0.334122,1560.98,2952.86,9.0849036,17.1856452,97.46,,1.8,4.7,9.321,0.0058200000000000005,50.0,l3,TX2_FP32_50%_MLP,0.0007676306793118657,FP32_TX2,TX2_FP32_MLP_50.0
MLP,TX2,FP32,maxp,2,0.86,0.377549,2398.13,5282.05,13.9571166,30.741531,97.46,,1.8,4.7,9.532,0.011640000000000001,50.0,l3,TX2_FP32_50%_MLP,0.0008674023121599762,FP32_TX2,TX2_FP32_MLP_50.0
MLP,TX2,FP32,maxp,4,1.17,0.38016,3482.99,10581.1,20.2710018,61.582002,97.46,,1.8,4.7,9.563,0.023280000000000002,50.0,l3,TX2_FP32_50%_MLP,0.0008734009704455226,FP32_TX2,TX2_FP32_MLP_50.0
MLP,TX2,FP32,maxp,8,2.26,0.660625,4047.43,15793.7,23.5560426,91.919334,97.46,,1.8,4.7,10.24,0.046560000000000004,50.0,l3,TX2_FP32_50%_MLP,0.0015177570394059698,FP32_TX2,TX2_FP32_MLP_50.0
MLP,TX2,FP32,maxp,16,3.51,0.749047,4807.51,30638.5,27.9797082,178.31607,97.46,,1.8,4.7,10.356,0.09312000000000001,50.0,l3,TX2_FP32_50%_MLP,0.0017209027165122775,FP32_TX2,TX2_FP32_MLP_50.0
MLP,TX2,FP32,maxp,32,6.1,0.7903439999999999,5446.81,57302.7,31.7004342,333.50171399999994,97.46,,1.8,4.7,10.371,0.18624000000000002,50.0,l3,TX2_FP32_50%_MLP,0.0018157807675341856,FP32_TX2,TX2_FP32_MLP_50.0
MLP,TX2,FP32,maxp,64,11.67,1.19806,5720.67,66823.3,33.2942994,388.911606,97.46,,1.8,4.7,11.478,0.37248000000000003,50.0,l3,TX2_FP32_50%_MLP,0.002752490442581973,FP32_TX2,TX2_FP32_MLP_50.0
MLP,TX2,FP32,maxp,128,21.95,1.45425,6095.24,103759.0,35.4742968,603.87738,97.46,,1.8,4.7,11.12,0.7449600000000001,50.0,l3,TX2_FP32_50%_MLP,0.0033410757609175124,FP32_TX2,TX2_FP32_MLP_50.0
MLP,ZCU104-FINN,INT4,,1,,0.014,,71428.571,,415.71428322,98.62,,9.2,14.2,14.475,0.0058200000000000005,50.0,l3,ZCU104-FINN_INT4_50%_MLP,3.216438759006028e-05,INT4_ZCU104-FINN,ZCU104-FINN_INT4_MLP_50.0
MLP,ZCU104-FINN,INT4,,2,,0.018000000000000002,,105263.158,,612.63157956,98.62,,9.2,14.2,14.34,0.011640000000000001,50.0,l3,ZCU104-FINN_INT4_50%_MLP,4.13542126157918e-05,INT4_ZCU104-FINN,ZCU104-FINN_INT4_MLP_50.0
MLP,ZCU104-FINN,INT4,,4,,0.024,,153846.154,,895.38461628,98.62,,9.2,14.2,14.41,0.023280000000000002,50.0,l3,ZCU104-FINN_INT4_50%_MLP,5.513895015438906e-05,INT4_ZCU104-FINN,ZCU104-FINN_INT4_MLP_50.0
MLP,ZCU104-FINN,INT4,,8,,0.04,,186046.512,,1082.79069984,98.62,,9.2,14.2,14.385,0.046560000000000004,50.0,l3,ZCU104-FINN_INT4_50%_MLP,9.189825025731508e-05,INT4_ZCU104-FINN,ZCU104-FINN_INT4_MLP_50.0
MLP,ZCU104-FINN,INT4,,16,,0.08,,213333.333,,1241.59999806,98.62,,9.2,14.2,14.4325,0.09312000000000001,50.0,l3,ZCU104-FINN_INT4_50%_MLP,0.00018379650051463016,INT4_ZCU104-FINN,ZCU104-FINN_INT4_MLP_50.0
MLP,ZCU104-FINN,INT4,,32,,0.128,,226950.355,,1320.8510660999998,98.62,,9.2,14.2,14.5125,0.18624000000000002,50.0,l3,ZCU104-FINN_INT4_50%_MLP,0.00029407440082340834,INT4_ZCU104-FINN,ZCU104-FINN_INT4_MLP_50.0
MLP,ZCU104-FINN,INT4,,64,,0.256,,235294.118,,1369.41176676,98.62,,9.2,14.2,14.64,0.37248000000000003,50.0,l3,ZCU104-FINN_INT4_50%_MLP,0.0005881488016468168,INT4_ZCU104-FINN,ZCU104-FINN_INT4_MLP_50.0
MLP,ZCU104-FINN,INT4,,128,,0.512,,239252.336,,1392.44859552,98.62,,9.2,14.2,14.5875,0.7449600000000001,50.0,l3,ZCU104-FINN_INT4_50%_MLP,0.0011762976032936331,INT4_ZCU104-FINN,ZCU104-FINN_INT4_MLP_50.0
MLP,ZCU104-FINN,INT4,,256,,1.024,,241737.488,,1406.91218016,98.62,,9.2,14.2,14.98,1.4899200000000001,50.0,l3,ZCU104-FINN_INT4_50%_MLP,0.002352595206587267,INT4_ZCU104-FINN,ZCU104-FINN_INT4_MLP_50.0
MLP,ZCU104-FINN,INT4,,512,,2.048,,242884.25,,1413.586335,98.62,,9.2,14.2,15.1125,2.9798400000000003,50.0,l3,ZCU104-FINN_INT4_50%_MLP,0.0047051904131745325,INT4_ZCU104-FINN,ZCU104-FINN_INT4_MLP_50.0
